# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,10H40,1800-1899,4/28/2017,08,1,Theft,"Road, Street, or Sidewalk",ANITA,-,ST
1,10H40,800-899,4/28/2017,08,1,Theft,"Other, Unknown, or Not Listed",ALABAMA,-,ST
1,10H40,1800-1899,4/28/2017,07,1,Theft,"Road, Street, or Sidewalk",ANITA,-,ST
1,10H40,700-799,4/27/2017,02,1,Theft,"Road, Street, or Sidewalk",ROSALIE,-,-
1,10H40,2200-2299,4/27/2017,17,1,Theft,Grocery Store or Supermarket,LOUISIANA,-,ST
1,10H40,1700-1799,4/23/2017,22,1,Theft,Other Parking Lot,ELGIN,-,ST
1,10H40,1300-1399,4/24/2017,03,1,Robbery,"Road, Street, or Sidewalk",GRAY,-,ST
1,10H40,2600-2699,4/23/2017,10,1,Theft,"Road, Street, or Sidewalk",CAROLINE,-,ST
1,10H40,1300-1399,4/23/2017,02,1,Theft,"Road, Street, or Sidewalk",MCILHENNY,-,ST
1,10H40,2200-2299,4/20/2017,19,1,Theft,Grocery Store or Supermarket,LOUISIANA,-,ST
1,10H40,1400-1499,4/20/2017,23,1,Theft,"Road, Street, or Sidewalk",ISABELLA,-,-
1,10H40,1400-1499,4/22/2017,14,1,Theft,"Road, Street, or Sidewalk",HOLMAN,-,-
1,10H40,3200-3299,4/22/2017,02,1,Theft,"Road, Street, or Sidewalk",LOUISIANA,-,ST
1,10H40,3000-3099,4/22/2017,05,1,Auto Theft,"Road, Street, or Sidewalk",CHENEVERT,-,-
1,10H40,1400-1499,4/22/2017,05,1,Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",MCILHENNY,-,ST
1,10H40,2200-2299,4/22/2017,07,1,Theft,"Road, Street, or Sidewalk",AUSTIN,-,ST
1,10H40,3900-3999,4/22/2017,09,1,Theft,"Road, Street, or Sidewalk",LA BRANCH,-,-
1,10H40,1600-1699,4/21/2017,22,1,Theft,"Road, Street, or Sidewalk",STUART,-,-
1,10H50,3300-3399,4/10/2017,23,1,Theft,Apartment,ALABAMA,E,ST
1,10H50,3000-3099,4/12/2017,08,1,Theft,Residence or House,ANITA,-,ST
1,10H50,2100-2199,4/13/2017,05,1,Theft,"Road, Street, or Sidewalk",NETTLETON,-,-
1,10H50,2300-2399,4/13/2017,11,1,Theft,"Road, Street, or Sidewalk",MCILHENNY,-,ST
1,10H50,3800-3899,4/14/2017,08,1,Theft,Vacant Restaurant,ENNIS,-,ST
1,10H50,2100-2199,4/15/2017,08,1,Theft,"Church, Synagogue, or Temple Parking Lot",SAINT EMANUEL,-,ST
1,10H50,3800-3899,4/15/2017,16,1,Theft,Convenience Store,DELANO,-,-
1,10H50,3700-3799,4/14/2017,09,1,Robbery,"Road, Street, or Sidewalk",TIERWESTER,-,-
